ciudad,departamento,total_ordenes,ingreso_total,ticket_promedio,calificacion_promedio
Bogota,Cundinamarca,149908,528188715.84,3523.42,3.62
Medellin,Antioquia,99837,354265127.76,3548.44,3.62
Cali,Valle del Cauca,75190,266726233.16,3547.36,3.63
Barranquilla,Atlantico,49936,176736371.54,3539.26,3.61
Cartagena,Bolivar,39840,141414893.77,3549.57,3.63
Bucaramanga,Santander,30230,106461664.94,3521.72,3.61
Pereira,Risaralda,19780,70780781.2,3578.4,3.64
Manizales,Caldas,15123,53141737.54,3513.97,3.61
Cucuta,Norte de Santander,10048,35593205.46,3542.32,3.63
Ibague,Tolima,10108,35373218.68,3499.53,3.63
