anio,mes,total_ordenes,ingreso_total,calificacion_promedio,variacion_pct
2022,1,21218,75756805.28,3.61,
2022,2,19198,67181201.18,3.61,-11.32
2022,3,21283,74953274.01,3.63,11.57
2022,4,20425,71752757.01,3.63,-4.27
2022,5,21373,75560934.1,3.61,5.31
2022,6,20532,72367923.52,3.61,-4.23
2022,7,21035,74760466.41,3.61,3.31
2022,8,21124,74709218.51,3.62,-0.07
2022,9,20559,73004788.66,3.62,-2.28
2022,10,21420,75872936.19,3.62,3.93
2022,11,20696,73550305.18,3.63,-3.06
2022,12,21267,75141435.28,3.63,2.16
2023,1,21305,75073795.54,3.62,-0.09
2023,2,19394,68437680.83,3.62,-8.84
2023,3,21374,75605226.56,3.62,10.47
2023,4,20344,71742749.5,3.6,-5.11
2023,5,21151,74616642.95,3.63,4.01
2023,6,20480,73263737.31,3.63,-1.81
2023,7,21451,76805718.63,3.63,4.83
2023,8,21249,75062865.93,3.62,-2.27
2023,9,20785,73495422.68,3.61,-2.09
2023,10,21451,76239516.5,3.62,3.73
2023,11,20405,71582963.44,3.62,-6.11
2023,12,20481,72143584.69,3.63,0.78
